index,title,pub_date,duration,youtube_search_url,substack_url,summary
1,"A $3 million karaoke company just triggered a global logistics selloff + the 3 categories that tell you whether to panic or buy",2026-02-19,30:02,"https://www.youtube.com/results?search_query=A+%243+million+karaoke+company+just+triggered+a+global+logistics+selloff","https://natesnewsletter.substack.com/p/a-karaoke-company-just-erased-174","Market reaction to automation; 3 categories to assess exposure and opportunities."
2,"The dark factory is real, most developers are getting slower, and your org chart is the bottleneck (plus 5 prompts to get from level 2 to 5)",2026-02-18,30:02,"https://www.youtube.com/results?search_query=The+dark+factory+is+real+most+developers+are+getting+slower","https://natesnewsletter.substack.com/p/the-5-level-framework-that-explains","Spec-driven 'dark factory' workflows and organizational changes needed for agent-native delivery."
3,"My honest breakdown of the OpenClaw hire + what 21,639 exposed instances tell you about agent security",2026-02-17,26:51,"https://www.youtube.com/results?search_query=My+honest+breakdown+of+the+OpenClaw+hire","https://natesnewsletter.substack.com/p/the-20kmonth-lobster-that-zuckerberg","Security lessons from OpenClaw/Moltbot and supply‑side agent risks."
4,"Codex 5.3 vs. Opus 4.6: Why your AI agent choice compounds faster than you think + the workflow audit that prevents the wrong one",2026-02-16,28:21,"https://www.youtube.com/results?search_query=Codex+5.3+vs+Opus+4.6","https://natesnewsletter.substack.com/p/codex-53-vs-opus-46-two-agent-philosophies","When to pick delegation-first vs coordination-first agent architectures."
5,"Executive Briefing: The Two-Class System Forming Inside Every Knowledge Work Function",2026-02-15,23:23,"https://www.youtube.com/results?search_query=The+Two-Class+System+Forming+Inside+Every+Knowledge+Work+Function","https://natesnewsletter.substack.com/p/executive-briefing-the-two-class","How specification skills become the new bottleneck — hiring & org design implications."
6,"$185 billion is the down payment — the 4 skills that survive when agents code for months",2026-02-14,22:52,"https://www.youtube.com/results?search_query=%24185+billion+is+the+down+payment","https://natesnewsletter.substack.com/p/the-650-billion-infrastructure-bet","Infrastructure & career skills that remain valuable as agents scale."
7,"I built in 10 minutes what takes a Goldman analyst a day + the 4 prompts to do it yourself",2026-02-13,29:19,"https://www.youtube.com/results?search_query=I+built+in+10+minutes+what+takes+a+Goldman+analyst+a+day","https://natesnewsletter.substack.com/p/general-intelligence-just-moved-into","Demo: Excel+PowerPoint with Opus/Claude; operational prompts."
8,"160,000 developers are building digital employees, not chatbots + the 4 prompts I use to deploy agents safely",2026-02-12,25:12,"https://www.youtube.com/results?search_query=160,000+developers+are+building+digital+employees","https://natesnewsletter.substack.com/p/what-3-weeks-inside-the-moltbot-openclaw","Marketplace demand for agent skills + deployment safety checklist."
9,"January is already obsolete. My honest breakdown of Opus 4.6 + what it means for developers, leaders, and everyone in between.",2026-02-11,30:38,"https://www.youtube.com/results?search_query=January+is+already+obsolete+Opus+4.6","https://natesnewsletter.substack.com/p/january-is-already-obsolete-my-honest","What Opus 4.6 changes — working memory, retrieval, agent teams."
10,"200 lines of markdown just triggered a $285 billion sell-off — here's what actually broke + what it means for your workflow",2026-02-10,30:38,"https://www.youtube.com/results?search_query=200+lines+of+markdown+just+triggered+a+%24285+billion+sell-off","https://natesnewsletter.substack.com/p/200-lines-of-markdown-just-triggered","Anthropic plugin release exposed pricing & SaaS model risk."
11,"Why 'I'll get to AI eventually' is now the most expensive career decision you can make + the kit to start",2026-02-09,14:01,"https://www.youtube.com/results?search_query=Why+I'll+get+to+AI+eventually+is+now+the+most+expensive+career+decision","https://natesnewsletter.substack.com/p/the-two-career-collapses-happening","Career advice: horizontal + temporal collapse — act now."
12,"Executive Briefing: Your Cloud Provider Is Your Competitor for AI Compute",2026-02-08,26:14,"https://www.youtube.com/results?search_query=Your+Cloud+Provider+Is+Your+Competitor+for+AI+Compute","https://natesnewsletter.substack.com/p/executive-briefing-the-global-inference","Supply constraints for inference compute and enterprise strategy."
13,"Why play is producing better software than strategy right now + grab the 4 prompts I use before I build anything",2026-02-07,19:09,"https://www.youtube.com/results?search_query=Why+play+is+producing+better+software+than+strategy+right+now","https://natesnewsletter.substack.com/p/why-play-is-producing-better-software","Playful prototyping and low-cost market probing."
14,"My breakdown of Claude's 80-Page Constitution + 3 prompts to use it properly",2026-02-06,19:08,"https://www.youtube.com/results?search_query=My+breakdown+of+Claude's+80-Page+Constitution","https://natesnewsletter.substack.com/p/what-anthropics-new-constitution","Operational implications of Anthropic's policy/constitution."
